Company,Ticker,Founding Year,,Prospectus link,
UUNet Technologies,UUNT,1995,,0,0
Lycos,LCOS,1996,,https://www.sec.gov/Archives/edgar/data/1007992/0000927016-98-001067.txt,1
Netscape Communications,NSCP,1995,,0,0
Verity,VRTY,1995,,0,0
MindSpring Enterprises,MSPG,1996,,0,0
DeltaPoint,DTPT,1995,,0,0
CNET,CNET,1996,,https://www.sec.gov/Archives/edgar/data/1015577/0001047469-98-028331.txt,1
CompuServe,CSRV,1996,,0,0
Spyglass,SPYG,1995,,0,0
NetGravity Inc,NETG,1998,,0,0
Whittman-Hart,WHIT,1996,,0,0
InterVU Inc,ITVU,1997,,0,0
Logility Inc,LGTY,1997,,https://www.sec.gov/Archives/edgar/data/1043915/0000931763-97-001664.txt,1
NetSpeak Corp,NSPK,1997,,https://www.sec.gov/Archives/edgar/data/1007209/0000950170-97-000691.txt,1
Excite Inc,XCIT,1996,,0,0
AOL,AOL,1992,,https://www.sec.gov/Archives/edgar/data/883780/0000950135-96-004315.txt,1
Digex,DIGX,1996,,https://www.sec.gov/Archives/edgar/data/883780/0000950135-96-004315.txt,1
Concentric Network Corp,CNCX,1997,,0,0
CyberCash,CYCHZ,1996,,0,0
Exodus Communications Inc,3EXDSQ,1998,,0,0
Ticketmaster Online-CitySearch,TMCS,1998,,https://www.sec.gov/Archives/edgar/data/1006637/0001012870-98-003100.txt,1
VeriSign Inc,VRSN,1998,Have not completed prospectus,,
Audio Book Club Inc,KLB,1997,,0,0
ONSALE Inc,ONSL,1997,,0,0
Pilot Network Services,PILTQ,1998,,https://www.sec.gov/Archives/edgar/data/1063921/0001012870-98-002057.txt,1
Cybershop International,CYSP,1998,,0,0
Inktomi Corporation,INKT,1998,,https://www.sec.gov/Archives/edgar/data/1024302/0001012870-98-001542.txt,1
Macromedia,MACR,1993,,0,0
Allegiance Telecom Inc,3ALGXQ,1998,,https://www.sec.gov/Archives/edgar/data/1017799/0000912057-96-022505.txt,1
FlashNet Communications Inc,FLAS,1999,,https://www.sec.gov/Archives/edgar/data/1063193/0001047469-99-009925.txt,1
CDnow Inc,CDNW,1998,,https://www.sec.gov/Archives/edgar/data/1078887/0001036050-99-000337.txt,1
MapQuest.com Inc,MQST,1999,,0,0
ibasis Inc,IBAS,1999,,https://www.sec.gov/Archives/edgar/data/1091756/000091205799004575/0000912057-99-004575.txt,1
Redback Networks Inc,RBAK,1999,,https://www.sec.gov/Archives/edgar/data/1081290/0000891618-99-002355.txt,1
Healtheon Corp,HLTH,1999,,0,0
DoubleClick Inc,DCLK,1998,,https://www.sec.gov/Archives/edgar/data/1049480/0001047469-98-007060.txt,1
Tanning Technology Corp,TANN,1999,,https://www.sec.gov/Archives/edgar/data/1086384/000095013099004183/0000950130-99-004183.txt,1
